name;past_price;last_price;raiting;subscription_fee;call_local;call_all;share_smartphone;sms_mms;traffic;speed
eSIM Ростелеком (ТЕЛЕ 2) 155;2990.0;1190.0;0;155 ₽ в месяц;null;800 минут в месяц;Да;null;10 ГБ , безлимитное использование youtube, использование приложений Яндекс.Карты, Яндекс.Навигатор и Яндекс.Транспорт на территории все России, кроме роме Республики Крым и г. Севастополя позволяет не расходовать интернет-трафик, предоставляется доступ к социальным сетям «ВКонтакте», «Одноклассники» а также мессенджерам «WhatsApp», «Viber», «ТамТам» через официальные сайты и приложения без расходования интернет-трафика.;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) 205;2990.0;1990.0;5.0;205 ₽ в месяц;безлимитно;5000 минут в месяц;Да;500 в месяц;30 ГБ;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) 305;2990.0;1190.0;0;305 ₽ в месяц;null;800 минут в месяц;Да;null;110 ГБ , безлимитное использование youtube, использование приложений Яндекс.Карты, Яндекс.Навигатор и Яндекс.Транспорт на территории все России, кроме роме Республики Крым и г. Севастополя позволяет не расходовать интернет-трафик, предоставляется доступ к социальным сетям «ВКонтакте», «Одноклассники» а также мессенджерам «WhatsApp», «Viber», «ТамТам» через официальные сайты и приложения без расходования интернет-трафика.;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) 450;2990.0;1290.0;0;450 ₽ в месяц;null;3000 минут в месяц;Да;null;100 ГБ;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) 455;2990.0;1190.0;0;455 ₽ в месяц;null;5000 минут в месяц;Да;500 в месяц;130 ГБ;без ограничений скорости (до 100 мбит/с) Обратите внимание! В связи с высокой нагрузкой на сеть, при использовании трафика свыше 230 ГБ в месяц, оператор стал применять ограничение скорости до 64 Кбит/с до 1-го числа следующего месяца.
eSIM Ростелеком (ТЕЛЕ 2) 605;2990.0;1190.0;0;605 ₽ в месяц;null;5000 минут в месяц;Да;500 в месяц;230 ГБ;без ограничений скорости (до 100 мбит/с) Обратите внимание! В связи с высокой нагрузкой на сеть, при использовании трафика свыше 230 ГБ в месяц, оператор стал применять ограничение скорости до 64 Кбит/с до 1-го числа следующего месяца.
eSIM Ростелеком (ТЕЛЕ 2) 750;3990.0;1790.0;0;750 ₽ в месяц;null;3000 минут в месяц;Да;null;300 ГБ;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) Вызов NEW 200;1590.0;790.0;5.0;200 ₽ в месяц;безлимитно;1000 минут в месяц;null;1000 в месяц;12 ГБ;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) Вызов NEW 280;1590.0;790.0;0;280 ₽ в месяц;безлимитно;2000 минут в месяц;null;2000 в месяц;25 ГБ;без ограничений скорости (до 100 мбит/с)
eSIM Ростелеком (ТЕЛЕ 2) Вызов NEW 400;1590.0;790.0;0;400 ₽ в месяц;безлимитно;3000 минут в месяц;null;3000 в месяц;60 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта БИ Бизнес 2XL 1000;1490.0;990.0;5.0;1000 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ Бизнес 2XL 750;2990.0;890.0;4.5;750 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ Бизнес 2XL 900;1700.0;1190.0;0;900 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ ГУРУ 1000;4690.0;1490.0;0;1500 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ ГУРУ 500;4690.0;1490.0;0;1090 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ Лайт 700;1700.0;990.0;0;700 ₽ в месяц;null;null;null;null;null;null
SIM-карта БИ Посуточный;9700.0;5000.0;5.0;null;null;null;null;null;Безлимит;null
SIM-карта М-Сеть Премиум 600 №2;3490.0;2490.0;0;600 ₽ в месяц;null;null;null;null;300 ГБ (3G, 4G);максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта М-Т-С Бизнес XL 1150;3490.0;1490.0;5.0;1150 ₽ в месяц;null;null;null;null;БЕЗЛИМИТНЫЙ (3G, 4G);максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта М-Т-С Премиум 950;3300.0;1190.0;5.0;950 ₽ в месяц;null;null;null;null;300 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта М-Т-С Турбо 1150;1890.0;1290.0;0;1150 ₽ в месяц;null;null;null;null;500 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта М-Т-С Турбо 1250;1890.0;1290.0;5.0;1250 ₽ в месяц;null;null;null;null;БЕЗЛИМИТ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта М-Т-С Турбо 650;1890.0;790.0;0;650 ₽ в месяц;null;null;null;null;100 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Атлас 1000;2990.0;790.0;5.0;1000 ₽ в месяц;null;null;null;null;500 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Атлас 900;2990.0;790.0;5.0;900 ₽ в месяц;null;null;null;null;300 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Бизнес 1390 (Cтатический IP);2990.0;1990.0;5.0;1390 ₽ в месяц;null;null;null;null;БЕЗЛИМИТНЫЙ Статический IP;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Бизнес 400 (100 гб);2990.0;990.0;4.5;400 ₽ в месяц;null;null;null;null;100 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Бизнес 690 (300 гб);2490.0;990.0;4.0;690 ₽ в месяц;null;null;null;null;300 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Бизнес 890;2990.0;1490.0;4.78;890 ₽ в месяц;null;null;null;null;БЕЗЛИМИТНЫЙ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Бизнес Эксклюзив 250;3990.0;2490.0;5.0;250 ₽ в месяц;null;null;null;null;100 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Коннект L;2490.0;1490.0;0;700 ₽ в месяц;null;null;null;null;55 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Коннект M;2490.0;1490.0;5.0;500 ₽ в месяц;null;null;null;null;45 ГБ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Мегафон Турбо Безлимит 1100;2990.0;990.0;0;1100 ₽ в месяц;null;null;null;null;БЕЗЛИМИТНЫЙ;максимальная, без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 155;2990.0;1190.0;5.0;155 ₽ в месяц;null;800 минут в месяц;Да;null;10 ГБ , безлимитное использование youtube, использование приложений Яндекс.Карты, Яндекс.Навигатор и Яндекс.Транспорт на территории все России, кроме роме Республики Крым и г. Севастополя позволяет не расходовать интернет-трафик, предоставляется доступ к социальным сетям «ВКонтакте», «Одноклассники» а также мессенджерам «WhatsApp», «Viber», «ТамТам» через официальные сайты и приложения без расходования интернет-трафика.;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 205;2990.0;1990.0;4.78;205 ₽ в месяц;null;5000 минут в месяц;null;500 в месяц;30 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 305;2990.0;1190.0;0;305 ₽ в месяц;null;800 минут в месяц;Да;null;110 ГБ , безлимитное использование youtube, использование приложений Яндекс.Карты, Яндекс.Навигатор и Яндекс.Транспорт на территории все России, кроме роме Республики Крым и г. Севастополя позволяет не расходовать интернет-трафик, предоставляется доступ к социальным сетям «ВКонтакте», «Одноклассники» а также мессенджерам «WhatsApp», «Viber», «ТамТам» через официальные сайты и приложения без расходования интернет-трафика.;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 440;2190.0;990.0;0;440 ₽ в месяц;null;null;null;null;101 ГБ;без ограничений скорости 101 ГБ (до 100 мбит/с), скорость после 101 Гб 64 кбит/с
SIM-карта Ростелеком (ТЕЛЕ 2) 450;2990.0;1290.0;5.0;450 ₽ в месяц;null;3000 минут в месяц;Да;null;100 ГБ;null
SIM-карта Ростелеком (ТЕЛЕ 2) 455;2990.0;1190.0;5.0;455 ₽ в месяц;null;5000 минут в месяц;null;500 в месяц;130 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 600;1990.0;990.0;5.0;600 ₽ в месяц;null;БЕЗЛИМИТНО;null;1500 в месяц;null;null
SIM-карта Ростелеком (ТЕЛЕ 2) 605;2990.0;1190.0;0;605 ₽ в месяц;null;5000 минут в месяц;null;500 в месяц;230 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) 750;3990.0;1790.0;4.0;750 ₽ в месяц;null;3000 минут в месяц;Да;null;200 ГБ;null
SIM-карта Ростелеком (ТЕЛЕ 2) Бизнес 2XL 1000;1190.0;590.0;0;1000 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Бизнес 2XL 590;1990.0;1190.0;0;590 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Бизнес 2XL 650;1990.0;1190.0;0;650 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Бизнес 2XL 750;1390.0;790.0;0;750 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Вызов NEW 200;1590.0;890.0;5.0;200 ₽ в месяц;безлимитно;1000 минут в месяц;null;1000 в месяц;12 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Вызов NEW 280;1590.0;890.0;5.0;280 ₽ в месяц;безлимитно;2000 минут в месяц;null;2000 в месяц;25 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта Ростелеком (ТЕЛЕ 2) Вызов NEW 400;1590.0;890.0;0;400 ₽ в месяц;безлимитно;3000 минут в месяц;null;3000 в месяц;60 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Бизнес 2XL 1000;1190.0;590.0;0;1000 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Бизнес 2XL 590;1990.0;1190.0;5.0;590 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Бизнес 2XL 750;1390.0;790.0;0;750 ₽ в месяц;null;null;null;null;103 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Родина 1000;3990.0;2490.0;0;1000 ₽ в месяц;null;1200 минут в месяц;null;null;БЕЗЛИМИТ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Родина 450;3990.0;2490.0;0;450 ₽ в месяц;null;500 минут в месяц;null;null;50 ГБ;без ограничений скорости (до 100 мбит/с)
SIM-карта ТЕЛЕ2 Турбо 1200;4990.0;790.0;0;1200 ₽ в месяц;null;null;null;null;300 ГБ;без ограничений скорости (до 100 мбит/с)
